Date,Close/Last,Volume,Open,High,Low,Adjusted Close
04/29/2015,81.99,N/A,81.99,81.99,81.99,59.5908
04/28/2015,82.37,N/A,82.37,82.37,82.37,59.867
04/27/2015,82.71,N/A,82.71,82.71,82.71,60.1141
04/24/2015,83.18,N/A,83.18,83.18,83.18,60.4557
04/23/2015,82.96,N/A,82.96,82.96,82.96,60.2958
04/22/2015,82.56,N/A,82.56,82.56,82.56,60.0051
04/21/2015,82.08,N/A,82.08,82.08,82.08,59.6563
04/20/2015,81.85,N/A,81.85,81.85,81.85,59.4891
04/17/2015,81.05,N/A,81.05,81.05,81.05,58.9076
04/16/2015,82.21,N/A,82.21,82.21,82.21,59.7507
04/15/2015,82.35,N/A,82.35,82.35,82.35,59.8525
04/14/2015,82.14,N/A,82.14,82.14,82.14,59.6999
04/13/2015,82.13,N/A,82.13,82.13,82.13,59.6926
04/10/2015,82.42,N/A,82.42,82.42,82.42,59.9034
04/09/2015,82.21,N/A,82.21,82.21,82.21,59.7507
04/08/2015,81.87,N/A,81.87,81.87,81.87,59.5036
04/07/2015,81.17,N/A,81.17,81.17,81.17,58.9949
04/06/2015,81.31,N/A,81.31,81.31,81.31,59.0966
04/03/2015,80.93,N/A,80.93,80.93,80.93,58.8204
04/02/2015,80.93,N/A,80.93,80.93,80.93,58.8204
04/01/2015,80.58,N/A,80.58,80.58,80.58,58.566
03/31/2015,80.88,N/A,80.88,80.88,80.88,58.7841
03/30/2015,81.68,N/A,81.68,81.68,81.68,59.3655
03/27/2015,80.84,N/A,80.84,80.84,80.84,58.755
03/26/2015,80.49,N/A,80.49,80.49,80.49,58.5006
03/25/2015,80.52,N/A,80.52,80.52,80.52,58.5224
03/24/2015,82.1,N/A,82.1,82.1,82.1,59.6708
03/23/2015,82.38,N/A,82.38,82.38,82.38,59.8743
03/20/2015,82.7,N/A,82.7,82.7,82.7,60.1069
03/19/2015,82.02,N/A,82.02,82.02,82.02,59.6126
03/18/2015,81.97,N/A,81.97,81.97,81.97,59.5763
03/17/2015,81.17,N/A,81.17,81.17,81.17,58.9949
03/16/2015,81.28,N/A,81.28,81.28,81.28,59.0748
03/13/2015,80.22,N/A,80.22,80.22,80.22,58.3044
03/12/2015,80.68,N/A,80.68,80.68,80.68,58.6387
03/11/2015,79.78,N/A,79.78,79.78,79.78,57.9846
03/10/2015,80.04,N/A,80.04,80.04,80.04,58.1736
03/09/2015,81.36,N/A,81.36,81.36,81.36,59.133
03/06/2015,81.09,N/A,81.09,81.09,81.09,58.9367
03/05/2015,82.14,N/A,82.14,82.14,82.14,59.6999
03/04/2015,81.76,N/A,81.76,81.76,81.76,59.4237
03/03/2015,81.95,N/A,81.95,81.95,81.95,59.5618
03/02/2015,82.33,N/A,82.33,82.33,82.33,59.838
02/27/2015,81.62,N/A,81.62,81.62,81.62,59.3219
02/26/2015,81.89,N/A,81.89,81.89,81.89,59.5182
02/25/2015,81.71,N/A,81.71,81.71,81.71,59.3873
02/24/2015,81.56,N/A,81.56,81.56,81.56,59.2783
02/23/2015,81.46,N/A,81.46,81.46,81.46,59.2056
02/20/2015,81.4,N/A,81.4,81.4,81.4,59.162
02/19/2015,80.78,N/A,80.78,80.78,80.78,58.7114
02/18/2015,80.44,N/A,80.44,80.44,80.44,58.4643
02/17/2015,80.29,N/A,80.29,80.29,80.29,58.3553
02/16/2015,80.16,N/A,80.16,80.16,80.16,58.2608
02/13/2015,80.16,N/A,80.16,80.16,80.16,58.2608
02/12/2015,79.61,N/A,79.61,79.61,79.61,57.861
02/11/2015,78.69,N/A,78.69,78.69,78.69,57.1924
02/10/2015,78.59,N/A,78.59,78.59,78.59,57.1197
02/09/2015,77.62,N/A,77.62,77.62,77.62,56.4147
02/06/2015,77.94,N/A,77.94,77.94,77.94,56.6473
02/05/2015,78.44,N/A,78.44,78.44,78.44,57.0107
02/04/2015,77.5,N/A,77.5,77.5,77.5,56.3275
02/03/2015,77.85,N/A,77.85,77.85,77.85,56.5819
02/02/2015,77,N/A,77,77,77,55.9641
01/30/2015,76.35,N/A,76.35,76.35,76.35,55.4917
01/29/2015,77.02,N/A,77.02,77.02,77.02,55.9786
01/28/2015,76.3,N/A,76.3,76.3,76.3,55.4553
01/27/2015,77.18,N/A,77.18,77.18,77.18,56.0949
01/26/2015,78.33,N/A,78.33,78.33,78.33,56.9307
01/23/2015,78.02,N/A,78.02,78.02,78.02,56.7054
01/22/2015,77.98,N/A,77.98,77.98,77.98,56.6763
01/21/2015,76.75,N/A,76.75,76.75,76.75,55.7824
01/20/2015,76.35,N/A,76.35,76.35,76.35,55.4917
01/19/2015,76.07,N/A,76.07,76.07,76.07,55.2881
01/16/2015,76.07,N/A,76.07,76.07,76.07,55.2881
01/15/2015,74.97,N/A,74.97,74.97,74.97,54.4887
01/14/2015,75.98,N/A,75.98,75.98,75.98,55.2227
01/13/2015,76.29,N/A,76.29,76.29,76.29,55.448
01/12/2015,76.39,N/A,76.39,76.39,76.39,55.5207
01/09/2015,76.88,N/A,76.88,76.88,76.88,55.8769
01/08/2015,77.56,N/A,77.56,77.56,77.56,56.3711
01/07/2015,76.24,N/A,76.24,76.24,76.24,55.4117
01/06/2015,75.15,N/A,75.15,75.15,75.15,54.6195
01/05/2015,75.93,N/A,75.93,75.93,75.93,55.1864
01/02/2015,77.29,N/A,77.29,77.29,77.29,56.1749
01/01/2015,77.39,N/A,77.39,77.39,77.39,56.2475
12/31/2014,77.39,N/A,77.39,77.39,77.39,56.2475
12/30/2014,77.97,N/A,77.97,77.97,77.97,56.6691
12/29/2014,78.41,N/A,78.41,78.41,78.41,56.9889
12/26/2014,78.32,N/A,78.32,78.32,78.32,56.9235
12/25/2014,77.99,N/A,77.99,77.99,77.99,56.6836
12/24/2014,77.99,N/A,77.99,77.99,77.99,56.6836
12/23/2014,77.92,N/A,77.92,77.92,77.92,56.6327
12/22/2014,78.05,N/A,78.05,78.05,78.05,56.7272
12/19/2014,77.94,N/A,77.94,77.94,77.94,56.6473
12/18/2014,77.59,N/A,77.59,77.59,77.59,56.3929
12/17/2014,75.9,N/A,75.9,75.9,75.9,55.1646
12/16/2014,80.76,N/A,80.76,80.76,80.76,53.9844
12/15/2014,81.86,N/A,81.86,81.86,81.86,54.7197
12/12/2014,82.4,N/A,82.4,82.4,82.4,55.0806
12/11/2014,83.42,N/A,83.42,83.42,83.42,55.7624
12/10/2014,82.91,N/A,82.91,82.91,82.91,55.4215
12/09/2014,84.18,N/A,84.18,84.18,84.18,56.2705
12/08/2014,83.92,N/A,83.92,83.92,83.92,56.0967
12/05/2014,84.55,N/A,84.55,84.55,84.55,56.5178
12/04/2014,84.56,N/A,84.56,84.56,84.56,56.5245
12/03/2014,84.58,N/A,84.58,84.58,84.58,56.5379
12/02/2014,84.24,N/A,84.24,84.24,84.24,56.3106
12/01/2014,83.93,N/A,83.93,83.93,83.93,56.1034
11/28/2014,84.75,N/A,84.75,84.75,84.75,56.6515
11/27/2014,84.74,N/A,84.74,84.74,84.74,56.6448
11/26/2014,84.74,N/A,84.74,84.74,84.74,56.6448
11/25/2014,84.51,N/A,84.51,84.51,84.51,56.4911
11/24/2014,84.48,N/A,84.48,84.48,84.48,56.471
11/21/2014,84.06,N/A,84.06,84.06,84.06,56.1903
11/20/2014,83.57,N/A,83.57,83.57,83.57,55.8627
11/19/2014,83.48,N/A,83.48,83.48,83.48,55.8026
11/18/2014,83.49,N/A,83.49,83.49,83.49,55.8092
11/17/2014,82.95,N/A,82.95,82.95,82.95,55.4483
11/14/2014,83.13,N/A,83.13,83.13,83.13,55.5686
11/13/2014,83.08,N/A,83.08,83.08,83.08,55.5352
11/12/2014,83.13,N/A,83.13,83.13,83.13,55.5686
11/11/2014,83.1,N/A,83.1,83.1,83.1,55.5485
11/10/2014,82.82,N/A,82.82,82.82,82.82,55.3614
11/07/2014,82.44,N/A,82.44,82.44,82.44,55.1074
11/06/2014,82.4,N/A,82.4,82.4,82.4,55.0806
11/05/2014,81.88,N/A,81.88,81.88,81.88,54.733
11/04/2014,81.53,N/A,81.53,81.53,81.53,54.4991
11/03/2014,82.03,N/A,82.03,82.03,82.03,54.8333
10/31/2014,82.02,N/A,82.02,82.02,82.02,54.8266
10/30/2014,81.27,N/A,81.27,81.27,81.27,54.3253
10/29/2014,80.19,N/A,80.19,80.19,80.19,53.6033
10/28/2014,80.5,N/A,80.5,80.5,80.5,53.8106
10/27/2014,79.54,N/A,79.54,79.54,79.54,53.1688
10/24/2014,79.68,N/A,79.68,79.68,79.68,53.2624
10/23/2014,79.1,N/A,79.1,79.1,79.1,52.8747
10/22/2014,78.02,N/A,78.02,78.02,78.02,52.1528
10/21/2014,78.81,N/A,78.81,78.81,78.81,52.6809
10/20/2014,76.91,N/A,76.91,76.91,76.91,51.4108
10/17/2014,75.96,N/A,75.96,75.96,75.96,50.7758
10/16/2014,74.95,N/A,74.95,74.95,74.95,50.1006
10/15/2014,74.82,N/A,74.82,74.82,74.82,50.0137
10/14/2014,74.99,N/A,74.99,74.99,74.99,50.1274
10/13/2014,74.7,N/A,74.7,74.7,74.7,49.9335
10/10/2014,76.22,N/A,76.22,76.22,76.22,50.9496
10/09/2014,77.55,N/A,77.55,77.55,77.55,51.8386
10/08/2014,79.11,N/A,79.11,79.11,79.11,52.8814
10/07/2014,77.69,N/A,77.69,77.69,77.69,51.9322
10/06/2014,78.88,N/A,78.88,78.88,78.88,52.7277
10/03/2014,79.06,N/A,79.06,79.06,79.06,52.848
10/02/2014,78.14,N/A,78.14,78.14,78.14,52.233
10/01/2014,78.05,N/A,78.05,78.05,78.05,52.1728
09/30/2014,79.18,N/A,79.18,79.18,79.18,52.9282
09/29/2014,79.35,N/A,79.35,79.35,79.35,53.0418
09/26/2014,79.51,N/A,79.51,79.51,79.51,53.1488
09/25/2014,78.68,N/A,78.68,78.68,78.68,52.594
09/24/2014,80.08,N/A,80.08,80.08,80.08,53.5298
09/23/2014,79.11,N/A,79.11,79.11,79.11,52.8814
09/22/2014,79.39,N/A,79.39,79.39,79.39,53.0686
09/19/2014,80.38,N/A,80.38,80.38,80.38,53.7303
09/18/2014,80.48,N/A,80.48,80.48,80.48,53.7972
09/17/2014,79.99,N/A,79.99,79.99,79.99,53.4696
09/16/2014,79.9,N/A,79.9,79.9,79.9,53.4095
09/15/2014,79.1,N/A,79.1,79.1,79.1,52.8747
09/12/2014,79.62,N/A,79.62,79.62,79.62,53.2223
09/11/2014,80.11,N/A,80.11,80.11,80.11,53.5499
09/10/2014,80.16,N/A,80.16,80.16,80.16,53.5833
09/09/2014,79.7,N/A,79.7,79.7,79.7,53.2758
09/08/2014,80.36,N/A,80.36,80.36,80.36,53.717
09/05/2014,80.54,N/A,80.54,80.54,80.54,53.8373
09/04/2014,80.1,N/A,80.1,80.1,80.1,53.5432
09/03/2014,80.24,N/A,80.24,80.24,80.24,53.6368
09/02/2014,80.47,N/A,80.47,80.47,80.47,53.7905
09/01/2014,80.37,N/A,80.37,80.37,80.37,53.7237
08/29/2014,80.37,N/A,80.37,80.37,80.37,53.7237
